iShares MSCI ACWI ETF
Fund Holdings as of,"Mar 17, 2025"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"160,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RTX","RTX CORP","Industrials","Equity","42,723,324.95","0.23","42,723,324.95","323,539.00","132.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","42,667,099.92","0.22","42,667,099.92","77,388.00","551.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","42,667,881.64","0.22","42,667,881.64","106,846.00","399.34","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","42,512,331.62","0.22","42,512,331.62","50,434.00","842.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","41,591,453.61","0.22","41,591,453.61","131,133.00","317.17","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","41,221,654.82","0.22","41,221,654.82","68,462.00","602.11","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","41,171,748.91","0.22","41,171,748.91","393,649.00","104.59","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","41,025,617.50","0.22","41,025,617.50","140,875.00","291.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","40,519,235.84","0.21","40,519,235.84","118,256.00","342.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","39,636,137.87","0.21","39,636,137.87","220,213.00","179.99","United States","NASDAQ","USD","1.00","USD","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","38,664,992.75","0.20","38,664,992.75","343,346.00","112.61","Canada","Toronto Stock Exchange","USD","1.43","CAD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","38,415,652.94","0.20","38,415,652.94","77,722.00","494.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","37,511,065.80","0.20","37,511,065.80","8,220.00","4,563.39","United States","NASDAQ","USD","1.00","USD","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","37,274,877.73","0.20","37,274,877.73","404,287.00","92.20","Australia","Asx - All Markets","USD","1.57","AUD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","37,137,987.36","0.20","37,137,987.36","140,472.00","264.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALV","ALLIANZ","Financials","Equity","36,814,447.76","0.19","36,814,447.76","95,221.00","386.62","Germany","Xetra","USD","0.92","EUR","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","36,675,684.04","0.19","36,675,684.04","2,684,100.00","13.66","Japan","Tokyo Stock Exchange","USD","148.57","JPY","-"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","36,531,388.95","0.19","36,531,388.95","1,512,200.00","24.16","Japan","Tokyo Stock Exchange","USD","148.57","JPY","-"
"PFE","PFIZER INC","Health Care","Equity","36,033,506.20","0.19","36,033,506.20","1,383,244.00","26.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","36,002,567.00","0.19","36,002,567.00","364,030.00","98.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","35,898,436.83","0.19","35,898,436.83","601,548.00","59.68","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","35,899,386.62","0.19","35,899,386.62","497,842.00","72.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","35,051,106.24","0.18","35,051,106.24","297,144.00","117.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","34,850,057.90","0.18","34,850,057.90","146,515.00","237.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","34,584,758.00","0.18","34,584,758.00","36,101.00","958.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","34,253,332.50","0.18","34,253,332.50","305,125.00","112.26","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","34,090,000.00","0.18","34,090,000.00","34,090,000.00","1.00","United States","-","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","33,650,789.13","0.18","33,650,789.13","462,681.00","72.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTE","TOTALENERGIES","Energy","Equity","33,635,467.40","0.18","33,635,467.40","535,143.00","62.85","France","Nyse Euronext - Euronext Paris","USD","0.92","EUR","-"
"DHR","DANAHER CORP","Health Care","Equity","33,581,445.60","0.18","33,581,445.60","157,956.00","212.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","33,503,651.92","0.18","33,503,651.92","128,776.00","260.17","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","33,466,683.25","0.18","33,466,683.25","936,131.00","35.75","United States","NASDAQ","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","33,335,367.66","0.18","33,335,367.66","158,423.00","210.42","United States","NASDAQ","USD","1.00","USD","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","33,010,946.05","0.17","33,010,946.05","130,932.00","252.12","France","Nyse Euronext - Euronext Paris","USD","0.92","EUR","-"
"C","CITIGROUP INC","Financials","Equity","32,446,215.10","0.17","32,446,215.10","463,915.00","69.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","32,393,081.76","0.17","32,393,081.76","63,051.00","513.76","United States","NASDAQ","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","32,257,596.14","0.17","32,257,596.14","414,782.00","77.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAN","SANOFI SA","Health Care","Equity","31,952,737.23","0.17","31,952,737.23","272,105.00","117.43","France","Nyse Euronext - Euronext Paris","USD","0.92","EUR","-"
"SYK","STRYKER CORP","Health Care","Equity","31,660,373.81","0.17","31,660,373.81","84,769.00","373.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","31,625,890.56","0.17","31,625,890.56","318,296.00","99.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","31,401,613.04","0.17","31,401,613.04","274,202.00","114.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","31,389,239.73","0.17","31,389,239.73","849,816.00","36.94","Germany","Xetra","USD","0.92","EUR","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","31,303,035.85","0.16","31,303,035.85","138,601.00","225.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","31,173,616.50","0.16","31,173,616.50","200,525.00","155.46","United States","NASDAQ","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","31,030,642.08","0.16","31,030,642.08","142,238.00","218.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BHP","BHP GROUP LTD","Materials","Equity","30,925,693.90","0.16","30,925,693.90","1,225,930.00","25.23","Australia","Asx - All Markets","USD","1.57","AUD","-"
"DE","DEERE","Industrials","Equity","30,254,921.40","0.16","30,254,921.40","62,724.00","482.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","29,656,240.00","0.16","29,656,240.00","160,304.00","185.00","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","29,516,699.73","0.16","29,516,699.73","492,027.00","59.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","29,457,347.40","0.16","29,457,347.40","182,004.00","161.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","29,430,226.56","0.16","29,430,226.56","99,232.00","296.58","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","29,078,525.00","0.15","29,078,525.00","311,500.00","93.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","28,991,814.20","0.15","28,991,814.20","97,540.00","297.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","28,524,036.81","0.15","28,524,036.81","295,522.00","96.52","Canada","Toronto Stock Exchange","USD","1.43","CAD","-"
